program_id,program_name
1,"BA in Culture, Politics and Society (3 years)"
2,"BA in Culture, Politics and Society (4 years)"
3,BA in Data Science and Society (4 years)
4,"BA in Philosophy, Politics and Economics (3 years)"
5,"BA in Philosophy, Politics and Economics (4 years)"
6,BA in Quantitative Social Sciences (3 years)
7,BA in Quantitative Social Sciences (4 years)
8,BSc in Data Science and Society  (3 years)
9,CIVICA Exchange
10,Gender Studies MATILDA XCHG
11,LLM in Comparative Constitutional Law
12,LLM in Global Business Law and Regulation
13,LLM in Human Rights
14,MA in Comparative History: History track
15,MA in Comparative History: Medieval track
16,MA in Critical Gender Studies
17,MA in Cultural Heritage Studies
18,MA in Economic Policy in Global Markets
19,MA in Economics
20,"MA in Economics, Data, and Policy (1 year) - Global Economic Policy Track"
21,"MA in Economics, Data, and Policy (1 year) - Research Track"
22,"MA in Economics, Data, and Policy (2 years)"
23,MA in European Women's and Gender History
24,MA in Gender Studies
25,MA in Historical Studies  (2 years) - Late Antique and Medieval Studies track
26,MA in Historical Studies (1 year) - History track
27,MA in Historical Studies (1 year) - Late Antique and Medieval Studies track
28,MA in Historical Studies (2-years) - History track
29,MA in History in the Public Sphere
30,MA in Human Rights
31,MA in International Relations (1 year) - New York City track
32,MA in International Relations (1 year) - Vienna track
33,MA in International Relations (2 years)
34,MA in Museum Studies
35,MA in Nationalism Studies (1 year)
36,MA in Nationalism Studies (2 years)
37,MA in Philosophy (1 year)
38,MA in Philosophy (2 years)
39,MA in Political Science (1 year)
40,MA in Political Science (2 years)
41,MA in Public Policy
42,MA in Public Policy (Mundus MAPP)
43,MA in Sociology and Social Anthropology (1 year)
44,MA in Sociology and Social Anthropology (2 years)
45,MA in Women's and Gender Studies (GEMMA)
46,MS Environmental Sciences Policy and Management (MESPOM)
47,MS in Business Analytics (full time)
48,MS in Business Analytics (part-time)
49,MS in Environmental Sciences and Policy
50,MS in Finance (full-time)
51,MS in Finance (part-time)
52,MS in Social Data Science (1 year)
53,MS in Social Data Science (2 years)
54,Master of Arts in International Public Affairs
55,Master of Public Administration
56,PhD in Business Administration
57,PhD in Business Administration - Part-time
58,PhD in Cognitive Science
59,PhD in Comparative Gender Studies
60,PhD in Comparative History
61,PhD in Economics
62,PhD in Environmental Sciences and Policy
63,PhD in Late Antique Medieval Early Modern St
64,PhD in Late Antique Medieval and Early Modern Studies
65,PhD in Network Science
66,PhD in Philosophy (4 years)
67,PhD in Philosophy (6 years)
68,PhD in Political Science Comparative Politics Track
69,PhD in Political Science Comparative and International Political Economy Track
70,PhD in Political Science International Relations Track
71,PhD in Political Science Political Theory Track
72,PhD in Political Science Public Policy Track
73,PhD in Sociology and Social Anthropology
74,Roma Graduate Preparation Program
75,SJD in Legal Studies
76,Undergraduate Studies Erasmus
77,Undergraduate Studies Exchange
78,Undergraduate Studies Visiting
79,"Yehuda Elkana Center for Teaching, Learning and Higher Education Research Exchange"
